Date,Open,High,Low,Close,Volume
2021-08-23,63.0563,64.0756,63.0563,63.7065,1016596.9389962
2021-08-24,64.1458,65.4463,63.9877,65.3408,967131.25071173
2021-08-25,65.2882,65.2882,64.4621,65.2354,478755.16512537
2021-08-26,65.0245,65.0245,63.8822,63.8822,513794.02484542
2021-08-27,64.0404,64.7258,63.5308,64.6379,363309.80975235
2021-08-30,64.6379,65.13,64.4271,64.9894,499568.62790169
2021-08-31,64.9894,65.7978,64.304,65.2882,2047115.4204575
2021-09-01,65.4639,65.6045,64.7082,64.7082,603396.95511459
2021-09-02,64.6204,64.9367,63.2671,64.5852,909990.67626816
2021-09-03,64.7961,65.6221,64.4446,65.3408,679088.58520454
2021-09-06,65.2706,65.4639,64.7258,65.4639,307512.11278026
2021-09-07,65.376,66.2899,65.1476,66.0438,833161.0144227
2021-09-08,65.8856,66.6062,64.9543,66.0614,1047724.3835726
2021-09-09,65.6748,66.0614,65.253,65.5517,738020.42163127
2021-09-10,65.7627,65.9032,65.1124,65.4991,600935.39242744
2021-09-13,65.8681,67.6431,65.376,67.6431,1250806.1503413
2021-09-14,67.6607,70.9295,67.4322,70.7362,2299313.4997617
2021-09-15,70.4725,70.5605,69.0314,69.6817,1631568.815096
2021-09-16,69.5762,69.5938,67.5377,67.7486,1144652.8242519
2021-09-17,67.854,68.3285,66.3602,66.8523,2775310.0759118
2021-09-20,65.9912,66.3778,63.7241,65.2178,1282644.8647649
2021-09-21,65.2178,66.7644,65.2178,65.956,905930.17896454
2021-09-22,66.3426,68.346,66.3426,68.1001,689145.37182788
2021-09-23,68.8909,69.0314,66.8875,67.1686,845244.63560258
2021-09-24,67.2389,69.3303,66.9753,69.3303,1793557.3932054
2021-09-27,69.506,70.6307,69.4533,70.1386,1807307.0928753
2021-09-28,70.1738,70.1914,68.8381,69.9101,1157368.0530561
2021-09-29,69.6466,70.4198,69.0138,70.2968,974748.09725128
2021-09-30,70.2968,72.353,70.1562,72.0718,3014160.1807558
2021-10-01,71.404,72.1772,70.824,71.4567,934101.01704015
2021-10-04,71.1755,72.5814,71.0877,71.9839,1168816.6525164
2021-10-05,72.0542,72.0542,70.5955,72.0191,991499.92469222
2021-10-06,71.7203,71.9839,70.3847,71.6676,1466256.0462288
2021-10-07,71.6852,71.7027,70.4198,70.9295,953526.08107475
2021-10-08,71.1579,74.1631,71.0701,74.005,2372048.5233509
2021-10-11,74.4443,76.9398,73.4074,76.8344,2007152.2973314
2021-10-12,76.6235,77.4671,76.0084,77.3617,1714636.0289933
2021-10-13,77.3617,78.6094,74.8485,76.4478,1495075.562405
2021-10-14,77.2386,78.996,76.4478,78.4688,1622017.3145721
2021-10-15,78.7324,80.1384,78.6445,79.6111,1362915.934639
2021-10-18,79.5232,79.8747,78.0822,78.5919,963202.76509175
2021-10-19,78.3458,79.8396,77.1859,77.801,1323478.5821839
2021-10-20,77.801,79.1717,77.6956,79.1191,881325.93241066
2021-10-21,78.8203,78.8203,76.5708,76.975,1408865.104799
2021-10-22,76.5356,77.0453,75.4461,75.9557,1032025.2355055
2021-10-25,76.0611,78.6797,76.0611,78.6797,970910.65417174
2021-10-26,78.7324,79.5936,78.1525,78.6445,840178.1182271
2021-10-27,78.6445,78.6445,76.8344,78.293,938747.60069785
2021-10-28,79.2597,79.576,76.6763,76.852,1482956.6622407
2021-10-29,76.852,77.8713,75.0418,75.6218,1423176.9921561
2021-11-02,75.6218,78.17,75.4461,76.9223,1857949.505995
2021-11-03,76.8696,77.678,75.6569,76.4478,1017614.3393856
2021-11-04,76.8696,78.4688,76.7113,78.2052,1227223.8563039
2021-11-05,78.1173,78.381,77.0278,77.7307,505172.29626576
2021-11-08,78.2052,78.9082,76.6939,77.0628,697779.61875685
2021-11-09,76.9047,77.6428,75.8854,77.3617,1164917.7557221
2021-11-10,77.2211,78.4688,76.9574,77.2035,1030142.9309819
2021-11-12,76.975,77.5374,75.2,75.3757,1499460.398759
2021-11-15,75.1824,76.0787,69.752,72.7924,2140719.670379
2021-11-16,72.3354,73.7765,71.6149,73.3372,1826452.2010981
2021-11-17,73.5481,73.6183,70.9998,71.1755,1160628.5140356
2021-11-18,70.7362,70.7362,68.5394,69.0666,1456923.0478019
2021-11-19,69.4181,70.7362,67.0456,67.854,1338249.0963386
2021-11-22,67.8364,70.5253,67.4849,69.5762,1220166.921388
2021-11-23,69.7344,70.3671,68.926,69.6817,1576766.89591
2021-11-24,70.2616,71.8785,69.3829,70.2968,875700.64144323
2021-11-25,70.3144,70.7362,68.7327,69.0842,735896.85437551
2021-11-26,67.6431,67.6431,64.4446,64.7082,1537662.9867593
2021-11-29,64.6555,65.6923,62.652,62.9332,1525294.8576405
2021-11-30,62.1951,63.7592,60.8067,62.652,1779565.2927715
2021-12-01,64.181,65.8506,63.8822,65.7275,1249728.4342689
2021-12-02,65.2003,65.4639,64.0052,64.673,995939.38657042
2021-12-03,65.2003,66.571,64.6028,64.8136,1674903.9263136
2021-12-06,65.0245,66.3426,64.058,64.6379,791906.22525413
2021-12-07,65.4815,67.1334,65.4815,67.1158,1067235.9380206
2021-12-08,67.3092,67.8012,65.9032,65.9032,1013561.8083043
2021-12-09,66.5184,66.7117,63.7065,64.7785,1002874.5520884
2021-12-10,64.3216,65.4639,64.1458,64.5852,310727.05248954
2021-12-13,64.9894,66.0966,64.7082,65.1827,1213082.6737101
2021-12-14,65.1124,66.0438,64.0404,65.8154,1175078.1032352
2021-12-15,65.6397,65.6397,62.8278,63.1441,1303955.6474184
2021-12-16,64.2337,65.6923,63.6538,65.6923,1079466.365297
2021-12-17,64.7082,65.0245,63.4428,64.058,2266057.9358025
2021-12-20,63.2671,63.2671,61.2109,62.3708,1321646.3510576
2021-12-21,63.2671,63.7943,62.775,62.9156,934491.36193228
2021-12-22,62.9508,63.7241,62.8278,63.7241,528392.69620495
2021-12-23,63.8822,64.4973,63.355,64.1458,605035.7208425
2021-12-27,64.1282,64.3919,62.6696,62.9156,536938.17665699
2021-12-28,62.9332,64.304,62.9332,63.8998,880420.05913328
2021-12-29,64.0052,64.9719,63.8998,64.9719,377776.46942824
2021-12-30,65.2003,65.3234,64.6555,65.3234,447464.98200794
2022-01-03,65.4639,66.5008,65.0245,66.0438,644305.78262949
2022-01-04,66.536,67.0983,65.8856,67.0983,935587.28651283
2022-01-05,67.1334,69.506,66.8523,69.4357,1926086.881292
2022-01-07,68.9788,71.3161,68.0121,70.1738,1825148.0167063
2022-01-10,70.3144,70.4198,68.2934,68.3812,1125134.4416134
2022-01-11,68.803,69.7696,67.1686,69.5411,1506146.3353225
2022-01-12,69.8047,72.4409,68.557,72.23,2755511.7374614
2022-01-13,72.23,73.5129,70.8768,71.5622,1660619.3517186
2022-01-14,71.5622,72.9329,71.5094,72.1948,1205767.4055857
2022-01-17,72.0894,72.23,71.404,71.6676,472871.54094945
2022-01-18,71.65,72.2651,69.8575,70.2968,878989.55321662
2022-01-19,69.8575,71.4567,69.1369,71.0525,1420370.6058471
2022-01-20,71.0877,71.1755,69.4708,70.9646,628415.44522746
2022-01-21,69.8926,70.2265,67.3092,68.346,1423054.0847265
2022-01-24,68.0121,68.7151,63.2671,63.9701,1593711.0507176
2022-01-25,64.3216,65.8681,64.058,65.4112,1332504.3120368
